language,BCP-47 code,ISO 639-3 code
Bwaidoka,NaN,bwd
Bwe Karen,NaN,bwe
Boselewa,NaN,bwf
Barwe,NaN,bwg
Bishuo,NaN,bwh
Baniwa,NaN,bwi
Láá Láá Bwamu,NaN,bwj
Bauwaki,NaN,bwk
Bwela,NaN,bwl
Biwat,NaN,bwm
Wunai Bunu,NaN,bwn
Boro (Ethiopia),NaN,bwo
Mandobo Bawah,NaN,bwp
"Bobo Madaré, Southern",NaN,bwq
Bura-Pabir,NaN,bwr
Bomboma,NaN,bws
Bafaw-Balong,NaN,bwt
Buli,NaN,bwu
Bwa,NaN,bww
Bu-Nao Bunu,NaN,bwx
Cwi Bwamu,NaN,bwy
Bwisi,NaN,bwz
Tairaha,NaN,bxa
Belanda Bor,NaN,bxb
Molengue,NaN,bxc
Pela,NaN,bxd
Birale,NaN,bxe
Minigir,NaN,bxf
Bangala,NaN,bxg
Buhutu,NaN,bxh
Pirlatapa,NaN,bxi
Bayungu,NaN,bxj
Lubukusu,NaN,bxk
Jalkunan,NaN,bxl
Mongolia Buriat,NaN,bxm
Burduna,NaN,bxn
Bebil,NaN,bxp
Beele,NaN,bxq
Russia Buriat,NaN,bxr
Busam,NaN,bxs
China Buriat,NaN,bxu
Berakou,NaN,bxv
Bankagooma,NaN,bxw
Binahari,NaN,bxz
Batak,NaN,bya
Bikya,NaN,byb
Ubaghara,NaN,byc
Benyadu',NaN,byd
Pouye,NaN,bye
Bete,NaN,byf
Baygo,NaN,byg
Bhujel,NaN,byh
Buyu,NaN,byi
Bina (Nigeria),NaN,byj
Biao,NaN,byk
Bayono,NaN,byl
Bidjara,NaN,bym
Blin,NaN,byn
Biyo,NaN,byo
Bumaji,NaN,byp
Basay,NaN,byq
Yipma,NaN,byr
Burak,NaN,bys
Berti,NaN,byt
Medumba,NaN,byv
Belhariya,NaN,byw
Qaqet,NaN,byx
Banaro,NaN,byz
Bandi,NaN,bza
Andio,NaN,bzb
Southern Betsimisaraka Malagasy,NaN,bzc
Bribri,NaN,bzd
Jenaama Bozo,NaN,bze
Boikin,NaN,bzf
Babuza,NaN,bzg
"Buang, Mapos",NaN,bzh
Bisu,NaN,bzi
Belize English Creole,NaN,bzj
Nicaragua Creole English,NaN,bzk
Boano (Sulawesi),NaN,bzl
Bolondo,NaN,bzm
Boano (Maluku),NaN,bzn
Bozaba,NaN,bzo
Kemberano,NaN,bzp
Buli (Indonesia),NaN,bzq
Biri,NaN,bzr
Burmeso,NaN,bzu
Naami,NaN,bzv
Basa (Nigeria),NaN,bzw
Kɛlɛngaxo Bozo,NaN,bzx
Obanliku,NaN,bzy
Evant,NaN,bzz
Ch’orti’,NaN,caa
Garifuna,NaN,cab
Chuj,NaN,cac
Caddo,NaN,cad
Lehar,NaN,cae
Southern Carrier,NaN,caf
Nivaclé,NaN,cag
Cahuarano,NaN,cah
Chané,NaN,caj
Kaqchikel,NaN,cak
Carolinian,NaN,cal
Cemuhî,NaN,cam
Chambri,NaN,can
Chácobo,NaN,cao
Chipaya,NaN,cap
Car Nicobarese,NaN,caq
Carib,NaN,car
Tsimané,NaN,cas
Catalan,cat_Latn,cat
Cavineña,NaN,cav
Chiquitano,NaN,cax
Cayuga,NaN,cay
Canichana,NaN,caz
Cabiyarí,NaN,cbb
Carapana,NaN,cbc
Carijona,NaN,cbd
Chimila,NaN,cbg
Chachi,NaN,cbi
Ede Cabe,NaN,cbj
Chavacano,NaN,cbk
Bualkhaw Chin,NaN,cbl
Nyahkur,NaN,cbn
Izora,NaN,cbo
Tsucuba,NaN,cbq
Kakataibo-Kashibo,NaN,cbr
Kashinawa,NaN,cbs
Shawi,NaN,cbt
Kandozi-Chapra,NaN,cbu
Cacua,NaN,cbv
Kinabalian,NaN,cbw
Chamicuro,NaN,ccc
Cafundo Creole,NaN,ccd
Chopi,NaN,cce
Samba Daka,NaN,ccg
Atsam,NaN,cch
Kasanga,NaN,ccj
Cutchi-Swahili,NaN,ccl
Malaccan Creole Malay,NaN,ccm
"Chinantec, Comaltepec",NaN,cco
Chakma,NaN,ccp
Cacaopera,NaN,ccr
Choni,NaN,cda
Chenchu,NaN,cde
Chiru,NaN,cdf
Chambeali,NaN,cdh
Chodri,NaN,cdi
Churahi,NaN,cdj
Chepang,NaN,cdm
Chaudangsi,NaN,cdn
Min Dong Chinese,NaN,cdo
Cinda-Regi-Tiyal,NaN,cdr
Chadong,NaN,cdy
Koda,NaN,cdz
Lower Chehalis,NaN,cea
Cebuano,ceb_Latn,ceb
Chamacoco,NaN,ceg
"Chin, Eastern Khumi",NaN,cek
Cen,NaN,cen
Czech,ces_Latn,ces
Centúúm,NaN,cet
Dijim-Bwilim,NaN,cfa
Cara,NaN,cfd
Como Karim,NaN,cfg
"Chin, Falam",NaN,cfm
Changriwa,NaN,cga
Kagayanen,NaN,cgc
Chiga,NaN,cgg
Chocangacakha,NaN,cgk
Chamorro,NaN,cha
Chibcha,NaN,chb
Catawba,NaN,chc
Highland Oaxaca Chontal,NaN,chd
Chechen,NaN,che
"Chontal, Tabasco",NaN,chf
Chagatai,NaN,chg
Chinook,NaN,chh
Ojitlán Chinantec,NaN,chj
Chuukese,NaN,chk
Cahuilla,NaN,chl
Chinook jargon,NaN,chn
Choctaw,NaN,cho
Dene Suline,NaN,chp
Quiotepec Chinantec,NaN,chq
Cherokee,NaN,chr
Cholón,NaN,cht
Old Slavonic,NaN,chu
Chuvash,NaN,chv
Chuwabu,NaN,chw
Chantyal,NaN,chx
Cheyenne,NaN,chy
"Chinantec, Ozumacín",NaN,chz
Cia-Cia,NaN,cia
Ci Gbe,NaN,cib
Chickasaw,NaN,cic
Chimariko,NaN,cid
Cineni,NaN,cie
Chinali,NaN,cih
Chitkuli Kinnauri,NaN,cik
Cimbrian,NaN,cim
Cinta Larga,NaN,cin
Chiapanec,NaN,cip
Tiri,NaN,cir
Chippewa,NaN,ciw
Chaima,NaN,ciy
Western Cham,NaN,cja
Chru,NaN,cje
Upper Chehalis,NaN,cjh
Chamalal,NaN,cji
Eastern Cham,NaN,cjm
Chenapian,NaN,cjn
"Ashéninka, Pajonal",NaN,cjo
Cabécar,NaN,cjp
Shor,NaN,cjs
Chuave,NaN,cjv
Jinyu Chinese,NaN,cjy
"Kurdish, Central",NaN,ckb
Central Kurdish,ckb_Arab,ckb
Chak,NaN,ckh
Cibak,NaN,ckl
Anufo,NaN,cko
Kajakse,NaN,ckq
Kairak,NaN,ckr
Tayo,NaN,cks
Chukchi,NaN,ckt
Koasati,NaN,cku
Kavalan,NaN,ckv
Caka,NaN,ckx
Cakfem-Mushere,NaN,cky
Ron,NaN,cla
Chilcotin,NaN,clc
Chaldean Neo-Aramaic,NaN,cld
"Chinantec, Lealao",NaN,cle
Chilisso,NaN,clh
Chakali,NaN,cli
Idu-Mishmi,NaN,clk
Chala,NaN,cll
Clallam,NaN,clm
Lowland Oaxaca Chontal,NaN,clo
Lautu Chin,NaN,clt
Caluyanun,NaN,clu
Chulym,NaN,clw
"Chatino, Eastern Highland",NaN,cly
Maa,NaN,cma
Cerma,NaN,cme
Emberá-Chamí,NaN,cmi
Campalagian,NaN,cml
Mandarin Chinese,NaN,cmn
"Chinese, Mandarin",NaN,cmn-script_simplified
Central Mnong,NaN,cmo
"Mnong, Central",NaN,cmo-script_latin
Mro-Khimi,NaN,cmr
Messapic,NaN,cms
Changthang,NaN,cna
Chinbon Chin,NaN,cnb
Côông,NaN,cnc
Northern Qiang,NaN,cng
"Chin, Hakha",NaN,cnh
Asháninka,NaN,cni
Khumi Chin,NaN,cnk
"Chinantec, Lalana",NaN,cnl
Northern Pinghua,NaN,cnp
Central Asmat,NaN,cns
"Chinantec, Tepetotutla",NaN,cnt
Chenoua,NaN,cnu
Ngawn Chin,NaN,cnw
Cocos Islands Malay,NaN,coa
Chicomuceltec,NaN,cob
Cocopa,NaN,coc
Cocama-Cocamilla,NaN,cod
Koreguaje,NaN,coe
Tsafiki,NaN,cof
Chong,NaN,cog
Chonyi-Dzihana-Kauma,NaN,coh
Cochimi,NaN,coj
"Cora, Santa Teresa",NaN,cok
Columbia-Wenatchi,NaN,col
Comanche,NaN,com
Cofán,NaN,con
Comox,NaN,coo
Coptic,NaN,cop
Coquille,NaN,coq
Cornish,NaN,cor
Corsican,NaN,cos
Caquinte,NaN,cot
Wamey,NaN,cou
Cao Miao,NaN,cov
Cowlitz,NaN,cow
Nanti,NaN,cox
Chochotec,NaN,coz
"Chinantec, Palantla",NaN,cpa
"Ashéninka, Ucayali-Yurúa",NaN,cpb
Ajyíninka Apurucayali,NaN,cpc
Cappadocian Greek,NaN,cpg
Cherepon,NaN,cpn
Kpeego,NaN,cpo
Capiznon,NaN,cps
"Ashéninka, Pichis",NaN,cpu
Pu-Xian Chinese,NaN,cpx
South Ucayali Ashéninka,NaN,cpy
Chara,NaN,cra
Island Carib,NaN,crb
Lonwolwol,NaN,crc
Coeur d'Alene,NaN,crd
Caramanta,NaN,crf
Michif,NaN,crg
Crimean Tatar,crh_Latn,crh
Sãotomense,NaN,cri
Southern East Cree,NaN,crj
Plains Cree,NaN,crk
"Cree, Plains",NaN,crk-script_latin
Northern East Cree,NaN,crl
Moose Cree,NaN,crm
"Cora, El Nayar",NaN,crn
Crow,NaN,cro
"Chorote, Iyo’wujwa",NaN,crq
Carolina Algonquian,NaN,crr
Seychelles French Creole,NaN,crs
"Chorote, Iyojwa’ja",NaN,crt
Chaura,NaN,crv
Chrau,NaN,crw
Carrier,NaN,crx
Cori,NaN,cry
Cruzeño,NaN,crz
Chiltepec Chinantec,NaN,csa
Kashubian,NaN,csb
Asho Chin,NaN,csh
Coast Miwok,NaN,csi
Jola-Kasa,NaN,csk
Central Sierra Miwok,NaN,csm
"Chinantec, Sochiapam",NaN,cso
Southern Pinghua,NaN,csp
Southern Ohlone,NaN,css
Northern Ohlone,NaN,cst
Sumtu Chin,NaN,csv
Swampy Cree,NaN,csw
Siyin Chin,NaN,csy
Coos,NaN,csz
Tataltepec Chatino,NaN,cta
"Chin, Tedim",NaN,ctd
Tepinapa Chinantec,NaN,cte
Chittagonian,NaN,ctg
Tlacoatzintepec Chinantec,NaN,ctl
Chitimacha,NaN,ctm
Chhintange,NaN,ctn
Embera Catío,NaN,cto
Western Highland Chatino,NaN,ctp
Northern Catanduanes Bikol,NaN,cts
Wayanad Chetti,NaN,ctt
Chol,NaN,ctu
Zacatepec Chatino,NaN,ctz
Cua,NaN,cua
Cubeo,NaN,cub
"Chinantec, Usila",NaN,cuc
Gichuka,NaN,cuh
Cuiba,NaN,cui
Mashco Piro,NaN,cuj
"Kuna, San Blas",NaN,cuk
Kulina,NaN,cul
Cumanagoto,NaN,cuo
Cupeño,NaN,cup
Cun,NaN,cuq
Chhulung,NaN,cur
Teutila Cuicatec,NaN,cut
Tai Ya,NaN,cuu
Cuvok,NaN,cuv
Chukwa,NaN,cuw
Tepeuxila Cuicatec,NaN,cux
Cuitlatec,NaN,cuy
Chug,NaN,cvg
Valle Nacional Chinantec,NaN,cvn
Kabwa,NaN,cwa
Maindo,NaN,cwb
Woods Cree,NaN,cwd
Kwere,NaN,cwe
Chewong,NaN,cwg
Kuwaataay,NaN,cwt
"Chatino, Nopala",NaN,cya
Cayubaba,NaN,cyb
Welsh,cym_Latn,cym
Cuyonon,NaN,cyo
Huizhou Chinese,NaN,czh
Zenzontepec Chatino,NaN,czn
Min Zhong Chinese,NaN,czo
Zotung Chin,NaN,czt
Dangaléat,NaN,daa
Dambi,NaN,dac
Marik,NaN,dad
Duupa,NaN,dae
Dagbani,NaN,dag
Gwahatike,NaN,dah
Day,NaN,dai
Dar Fur Daju,NaN,daj
Dakota,NaN,dak
Dahalo,NaN,dal
Damakawa,NaN,dam
Danish,dan_Latn,dan
Daai Chin,NaN,dao
Dandami Maria,NaN,daq
Dargwa,NaN,dar
Daho-Doo,NaN,das
Dar Sila Daju,NaN,dau
Taita,NaN,dav
Davawenyo,NaN,daw
Dayi,NaN,dax
Dao,NaN,daz
Bangime,NaN,dba
Deno,NaN,dbb
Dadiya,NaN,dbd
Dabe,NaN,dbe
Edopi,NaN,dbf
Dogul Dom Dogon,NaN,dbg
Doka,NaN,dbi
Ida’an,NaN,dbj
Dyirbal,NaN,dbl
Duguri,NaN,dbm
Duriankere,NaN,dbn
Dulbu,NaN,dbo
Duwai,NaN,dbp
Daba,NaN,dbq
Dabarre,NaN,dbr
Ben Tey Dogon,NaN,dbt
Bondum Dom Dogon,NaN,dbu
Bankan Tey Dogon,NaN,dbw
Dibiyaso,NaN,dby
Deccan,NaN,dcc
Negerhollands,NaN,dcr
Dongotono,NaN,ddd
Doondo,NaN,dde
Fataluku,NaN,ddg
West Goodenough,NaN,ddi
Jaru,NaN,ddj
Dendi,NaN,ddn
Dido,NaN,ddo
Dhudhuroa,NaN,ddr
Donno So Dogon,NaN,dds
Dawera-Daweloor,NaN,ddw
Dagik,NaN,dec
Dedua,NaN,ded
Dewoin,NaN,dee
Dezfuli,NaN,def
Degema,NaN,deg
Dehwari,NaN,deh
Demisa,NaN,dei
Dem,NaN,dem
Dendi (Central African Republic),NaN,deq
Deori,NaN,der
Desano,NaN,des
"German, Standard",NaN,deu
German,deu_Latn,deu
Domung,NaN,dev
Dengese,NaN,dez
"Dagaare, Southern",NaN,dga
Bunoge Dogon,NaN,dgb
Casiguran Dumagat Agta,NaN,dgc
Dagaari Dioula,NaN,dgd
Degenan,NaN,dge
Doga,NaN,dgg
Dghwede,NaN,dgh
"Dagara, Northern",NaN,dgi
Dagba,NaN,dgk
Dongolawi,NaN,dgl
Dagoman,NaN,dgn
Dogri,NaN,dgo
Tlicho,NaN,dgr
Dogoso,NaN,dgs
Daungwurrung,NaN,dgw
Doghoro,NaN,dgx
Daga,NaN,dgz
Dhundari,NaN,dhd
Djangu,NaN,dhg
Dhimal,NaN,dhi
Dhalandji,NaN,dhl
Zemba,NaN,dhm
Dhanki,NaN,dhn
Dhodia,NaN,dho
Dhargari,NaN,dhr
Dhaiso,NaN,dhs
Dhurga,NaN,dhu
Drehu,NaN,dhv
Dhanwar (Nepal),NaN,dhw
Dia,NaN,dia
South Central Dinka,NaN,dib
Lakota Dida,NaN,dic
Didinga,NaN,did
Diyari,NaN,dif
Chidigo,NaN,dig
Kumiai,NaN,dih
Dimbong,NaN,dii
Dai,NaN,dij
"Dinka, Southwestern",NaN,dik
Dilling,NaN,dil
Dime,NaN,dim
Dibo,NaN,dio
"Dinka, Northeastern",NaN,dip
Dimli,NaN,diq
Dirim,NaN,dir
Dimasa,NaN,dis
Diriku,NaN,diu
Maldivian,NaN,div
Northwestern Dinka,NaN,diw
Dixon Reef,NaN,dix
Diuwe,NaN,diy
Ding,NaN,diz
Djinba,NaN,djb
Dar Daju Daju,NaN,djc
Ngaliwurru,NaN,djd
Zarma,NaN,dje
Djangun,NaN,djf
Djinang,NaN,dji
Djeebbana,NaN,djj
Aukan,NaN,djk
Jamsay Dogon,NaN,djm
Jawoyn,NaN,djn
Jangkang,NaN,djo
Djambarrpuyngu,NaN,djr
Kapriman,NaN,dju
Djawi,NaN,djw
Dakpakha,NaN,dka
Dakka,NaN,dkk
Kuijau,NaN,dkr
Southeastern Dinka,NaN,dks
Mazagway,NaN,dkx
Dolgan,NaN,dlg
Dahalik,NaN,dlk
Dalmatian,NaN,dlm
Darlong,NaN,dln
Duma,NaN,dma
Mombo Dogon,NaN,dmb
Gavak,NaN,dmc
Madhi Madhi,NaN,dmd
Dugwor,NaN,dme
Upper Kinabatangan,NaN,dmg
Domaaki,NaN,dmk
Dameli,NaN,dml
Dama,NaN,dmm
Kemedzung,NaN,dmo
East Damar,NaN,dmr
Dampelas,NaN,dms
Tebi,NaN,dmu
Dumpas,NaN,dmv
Dema,NaN,dmx
Sowari,NaN,dmy
Upper Grand Valley Dani,NaN,dna
Daonda,NaN,dnd
Ndendeule,NaN,dne
Dungan,NaN,dng
Lower Grand Valley Dani,NaN,dni
Dan,NaN,dnj
Dengka,NaN,dnk
Dzùùngoo,NaN,dnn
Northern Lendu,NaN,dno
Danaru,NaN,dnr
"Dani, Mid Grand Valley",NaN,dnt
Danau,NaN,dnu
"Dani, Western",NaN,dnw
Dení,NaN,dny
Dom,NaN,doa
Dobu,NaN,dob
Northern Dong,NaN,doc
Doe,NaN,doe
Domu,NaN,dof
Dong,NaN,doh
Dondo,NaN,dok
Doso,NaN,dol
Toura (Papua New Guinea),NaN,don
Dongo,NaN,doo
Lukpa,NaN,dop
Dori'o,NaN,dor
Dogosé,NaN,dos
Dass,NaN,dot
Dombe,NaN,dov
Doyayo,NaN,dow
Bussa,NaN,dox
Dompo,NaN,doy
Dorze,NaN,doz
Papar,NaN,dpp
Dair,NaN,drb
Minderico,NaN,drc
Darmiya,NaN,drd
Dolpo,NaN,dre
Rungus,NaN,drg
C'Lela,NaN,dri
Paakantyi,NaN,drl
West Damar,NaN,drn
Daro-Matu Melanau,NaN,dro
Dura,NaN,drq
Gedeo,NaN,drs
Drents,NaN,drt
Rukai,NaN,dru
Darai,NaN,dry
Lower Sorbian,NaN,dsb
Daasanach,NaN,dsh
Disa,NaN,dsi
Dusner,NaN,dsn
Desiya,NaN,dso
Tadaksahak,NaN,dsq
Daur,NaN,dta
Labuk-Kinabatangan Kadazan,NaN,dtb
Ditidaht,NaN,dtd
Adithinngithigh,NaN,dth
Ana Tinga Dogon,NaN,dti
Tene Kan Dogon,NaN,dtk
Tomo Kan Dogon,NaN,dtm
Daatsʼíin,NaN,dtn
Tommo So Dogon,NaN,dto
Kadazan Dusun,NaN,dtp
Lotud,NaN,dtr
"Dogon, Toro So",NaN,dts
Toro Tegu Dogon,NaN,dtt
Tebul Ure Dogon,NaN,dtu
Dotyali,NaN,dty
Duala,NaN,dua
Dubli,NaN,dub
Duna,NaN,duc
Umiray Dumaget Agta,NaN,due
Dumbea,NaN,duf
Chiduruma,NaN,dug
Dungra Bhil,NaN,duh
Dumun,NaN,dui
Uyajitaya,NaN,duk
Alabat Island Agta,NaN,dul
Middle Dutch (ca. 1050-1350),NaN,dum
Dusun Deyah,NaN,dun
Dupaninan Agta,NaN,duo
Duano,NaN,dup
Dusun Malang,NaN,duq
Dii,NaN,dur
Dumi,NaN,dus
Drung,NaN,duu
Duvle,NaN,duv
Dusun Witu,NaN,duw
Duungooma,NaN,dux
Dicamay Agta,NaN,duy
Duli-Gey,NaN,duz
Duau,NaN,dva
Diri,NaN,dwa
Dawro,NaN,dwr
Dawawa,NaN,dww
Dewas Rai,NaN,dwz
Dyan,NaN,dya
Dyaberdyaber,NaN,dyb
Dyugun,NaN,dyd
"Sénoufo, Djimini",NaN,dyi
Yanda Dom Dogon,NaN,dym
Dyangadi,NaN,dyn
Jola-Fonyi,NaN,dyo
Jula,NaN,dyu
Dyaabugay,NaN,dyy
Tunzu,NaN,dza
Djiwarli,NaN,dze
Dazaga,NaN,dzg
Dzalakha,NaN,dzl
Dzando,NaN,dzn
Dzongkha,dzo_Tibt,dzo
Ebughu,NaN,ebg
Teke-Ebo,NaN,ebo
Ebrié,NaN,ebr
Kiembu,NaN,ebu
E,NaN,eee
Efai,NaN,efa
Efe,NaN,efe
Efik,NaN,efi
Ega,NaN,ega
Emilian,NaN,egl
Eggon,NaN,ego
Egyptian (Ancient),NaN,egy
Ehueun,NaN,ehu
Lik,NaN,eip
Eitiep,NaN,eit
Askopan,NaN,eiv
Ejamat,NaN,eja
Ekajuk,NaN,eka
Ekit,NaN,eke
Ekari,NaN,ekg
Eki,NaN,eki
Kol (Bangladesh),NaN,ekl
Elip,NaN,ekm
Koti,NaN,eko
Ekpeye,NaN,ekp
Yace,NaN,ekr
Eastern Kayah,NaN,eky
Elepi,NaN,ele
El Hugeirat,NaN,elh
Nding,NaN,eli
Elkei,NaN,elk
Greek,ell_Grek,ell
Eleme,NaN,elm
El Molo,NaN,elo
Elu,NaN,elu
Elamite,NaN,elx
Emai-Iuleha-Ora,NaN,ema
Embaloh,NaN,emb
Emerillon,NaN,eme
Eastern Meohang,NaN,emg
Mussau-Emira,NaN,emi
Eastern Maninkakan,NaN,emk
Eman,NaN,emn
"Emberá, Northern",NaN,emp
Eastern Minyag,NaN,emq
Pacific Gulf Yupik,NaN,ems
Eastern Muria,NaN,emu
Emplawas,NaN,emw
Epigraphic Mayan,NaN,emy
Mbessa,NaN,emz
Scottish English,NaN,en-sc
American English,NaN,en-us
Apali,NaN,ena
Markweeta,NaN,enb
En,NaN,enc
Ende,NaN,end
Forest Enets,NaN,enf
English,eng_Latn,eng
Tundra Enets,NaN,enh
Enlhet,NaN,enl
Middle English (1100-1500),NaN,enm
Engenni,NaN,enn
Enggano,NaN,eno
Enga,NaN,enq
Emumu,NaN,enr
Enu,NaN,enu
Enwan (Edu State),NaN,env
Enwan (Akwa Ibom State),NaN,enw
Enxet,NaN,enx
Beti (Côte d'Ivoire),NaN,eot
Epie,NaN,epi
Esperanto,epo_Latn,epo
Eravallan,NaN,era
Sie,NaN,erg
Eruwa,NaN,erh
Ogea,NaN,eri
South Efate,NaN,erk
Horpa,NaN,ero
Erre,NaN,err
Ersu,NaN,ers
Eritai,NaN,ert
Erokwanas,NaN,erw
Ese Ejja,NaN,ese
Eshtehardi,NaN,esh
North Alaskan Inupiatun,NaN,esi
Northwest Alaska Inupiatun,NaN,esk
Esselen,NaN,esq
"Yupik, Saint Lawrence Island",NaN,ess
Estonian,est_Latn,est
Central Yupik,NaN,esu
Etebi,NaN,etb
Eton (Vanuatu),NaN,etn
Eton (Cameroon),NaN,eto
Edolo,NaN,etr
Yekhee,NaN,ets
Etruscan,NaN,ett
Ejagham,NaN,etu
Eten,NaN,etx
Semimi,NaN,etz
Basque,eus_Latn,eus
Even,NaN,eve
Uvbie,NaN,evh
Evenki,NaN,evn
Éwé,NaN,ewe
Ewondo,NaN,ewo
Extremaduran,NaN,ext
Eyak,NaN,eya
Keiyo,NaN,eyo
Ezaa,NaN,eza
Uzekwe,NaN,eze
Fasu,NaN,faa
Fa d'Ambu,NaN,fab
Wagi,NaN,fad
Fagani,NaN,faf
Finongan,NaN,fag
Baissa Fali,NaN,fah
Faiwol,NaN,fai
Faita,NaN,faj
Fang (Cameroon),NaN,fak
"Fali, South",NaN,fal
Fam,NaN,fam
Fang (Equatorial Guinea),NaN,fan
Faroese,fao_Latn,fao
Paloor,NaN,fap
Fataleka,NaN,far
Persian,NaN,fas
Fayu,NaN,fau
Fala,NaN,fax
Southwestern Fars,NaN,fay
Feroge,NaN,fer
Maasina Fulfulde,NaN,ffm
Fongoro,NaN,fgr
Nobiin,NaN,fia
Fyer,NaN,fie
Faifi,NaN,fif
Fijian,fij_Latn,fij
Pilipino,NaN,fil
Finnish,fin_Latn,fin
Fipa,NaN,fip
Firan,NaN,fir
Tornedalen Finnish,NaN,fit
Fiwaga,NaN,fiw
Kirya-Konzəl,NaN,fkk
Kven Finnish,NaN,fkv
Kalispel-Pend d'Oreille,NaN,fla
Foau,NaN,flh
Fali,NaN,fli
North Fali,NaN,fll
Flinders Island,NaN,fln
Fuliiru,NaN,flr
Fe'fe',NaN,fmp
"Muria, Far Western",NaN,fmu
Fanbak,NaN,fnb
Fania,NaN,fni
Foodo,NaN,fod
Foi,NaN,foi
Fon,fon_Latn,fon
Fore,NaN,for
Siraya,NaN,fos
Fernando Po Creole English,NaN,fpe
Fas,NaN,fqs
Belgian French,NaN,fr-be
Swiss French,NaN,fr-sw
French,fra_Latn,fra
Cajun French,NaN,frc
Fordata,NaN,frd
Frankish,NaN,frk
Old French (842-ca. 1400),NaN,fro
Francoprovençal,NaN,frp
Forak,NaN,frq
Northern Frisian,NaN,frr
Eastern Frisian,NaN,frs
Fortsenal,NaN,frt
Frisian,NaN,fry
suomenruotsalainen viittomakieli,NaN,fss
Adamawa Fulfulde,NaN,fub
Pulaar,NaN,fuc
East Futuna,NaN,fud
Borgu Fulfulde,NaN,fue
Pular,NaN,fuf
Western Niger Fulfulde,NaN,fuh
Bagirmi Fulfulde,NaN,fui
Ko,NaN,fuj
Fulah,NaN,ful
Fulniô,NaN,fun
Central-Eastern Niger Fulfulde,NaN,fuq
Futuna-Aniwa,NaN,fut
Furu,NaN,fuu
Nigerian Fulfulde,fuv_Latn,fuv
Fuyug,NaN,fuy
Fur,NaN,fvr
Fwâi,NaN,fwa
Fwe,NaN,fwe
Ga,NaN,gaa
Gabri,NaN,gab
Mixed Great Andamanese,NaN,gac
Gaddang,NaN,gad
Guarequena,NaN,gae
Gende,NaN,gaf
Gagauz,NaN,gag
Alekano,NaN,gah
Mbore,NaN,gai
Gadsup,NaN,gaj
Gamkonora,NaN,gak
Galolen,NaN,gal
Kandawo,NaN,gam
Gan Chinese,NaN,gan
Gants,NaN,gao
Gal,NaN,gap
Gata',NaN,gaq
Galeya,NaN,gar
Adiwasi Garasia,NaN,gas
Kenati,NaN,gat
"Gadaba, Mudhili",NaN,gau
Nobonob,NaN,gaw
Borana-Arsi-Guji Oromo,NaN,gax
Gayo,NaN,gay
West Central Oromo,gaz_Latn,gaz
Kaytetye,NaN,gbb
Karajarri,NaN,gbd
Niksek,NaN,gbe
Gaikundi,NaN,gbf
Gbanziri,NaN,gbg
Defi Gbe,NaN,gbh
Galela,NaN,gbi
Bodo Gadaba,NaN,gbj
Gaddi,NaN,gbk
Gamit,NaN,gbl
Garhwali,NaN,gbm
Mo'da,NaN,gbn
"Grebo, Northern",NaN,gbo
Gbaya-Bossangoa,NaN,gbp
Gbaya-Bozoum,NaN,gbq
Gbagyi,NaN,gbr
Gbesi Gbe,NaN,gbs
Gagadu,NaN,gbu
Gbanu,NaN,gbv
Gabi-Gabi,NaN,gbw
Eastern Xwla Gbe,NaN,gbx
Gbari,NaN,gby
Zoroastrian Dari,NaN,gbz
Mali,NaN,gcc
Ganggalida,NaN,gcd
Galice,NaN,gce
Guadeloupean Creole French,NaN,gcf
Grenadian Creole English,NaN,gcl
Gaina,NaN,gcn
Guianese Creole French,NaN,gcr
Colonia Tovar German,NaN,gct
Gade Lohar,NaN,gda
Pottangi Ollar Gadaba,NaN,gdb
Gugu Badhun,NaN,gdc
Gedaged,NaN,gdd
Gude,NaN,gde
Guduf-Gava,NaN,gdf
Ga'dang,NaN,gdg
Gajirrabeng,NaN,gdh
Gundi,NaN,gdi
Gurdjar,NaN,gdj
Gadang,NaN,gdk
Dirasha,NaN,gdl
Laal,NaN,gdm
Umanakaina,NaN,gdn
Ghodoberi,NaN,gdo
Mehri,NaN,gdq
Wipi,NaN,gdr
Gudu,NaN,gdu
Godwari,NaN,gdx
Geruma,NaN,gea
Kire,NaN,geb
Gboloo Grebo,NaN,gec
Gade,NaN,ged
Hutterite German,NaN,geh
Gebe,NaN,gei
Gen,NaN,gej
Ywom,NaN,gek
ut-Ma'in,NaN,gel
Geme,NaN,geq
Geser-Gorom,NaN,ges
Eviya,NaN,gev
Gera,NaN,gew
Garre,NaN,gex
Enya,NaN,gey
Geez,NaN,gez
Patpatar,NaN,gfk
Gafat,NaN,gft
Gao,NaN,gga
Gbii,NaN,ggb
Gugadj,NaN,ggd
Gurr-goni,NaN,gge
Gurgula,NaN,ggg
Kungarakany,NaN,ggk
Ganglau,NaN,ggl
Gitua,NaN,ggt
Gban,NaN,ggu
Gogodala,NaN,ggw
Ghadamès,NaN,gha
Hiberno-Scottish Gaelic,NaN,ghc
Southern Ghale,NaN,ghe
Northern Ghale,NaN,ghh
Geko Karen,NaN,ghk
Ghulfan,NaN,ghl
Ghanongga,NaN,ghn
Ghomara,NaN,gho
Ghera,NaN,ghr
Guhu-Samane,NaN,ghs
Kutang Ghale,NaN,ght
Kija,NaN,gia
Gidar,NaN,gid
Guébie,NaN,gie
Goaria,NaN,gig
Githabul,NaN,gih
Girirra,NaN,gii
